"scenario","val","lower","upper","pval","group","inter"
2,0.0125178762350405,-0.00161185283261657,0.0269857107227216,0.0856967169448515,"Both-Both","Contact precaution"
2,0.00135136834632353,-0.0127601541433795,0.0154063861537355,0.843582731526956,"Both-Contact","Contact precaution"
2,0.0236667099756368,0.0086583000605511,0.0381616692438032,0.00191123210302048,"Both-Duration","Contact precaution"
2,-0.0119760606576042,-0.0268338488968896,0.00222315757120112,0.101756349897289,"Patients-Both","Contact precaution"
2,0.00794272562838889,-0.00661627755976991,0.0229539486466034,0.296332287072836,"Patients-Contact","Contact precaution"
2,0.0384090338988264,0.0240184839991134,0.0529833115609091,3.07164711155023e-07,"Patients-Duration","Contact precaution"
2,0.0125035826254524,-0.00168050963982559,0.0267775475775275,0.0887981096286681,"Staff-Both","Contact precaution"
2,0.0294494938507187,0.014617513452514,0.0439516094205299,9.07974916165784e-05,"Staff-Contact","Contact precaution"
2,-0.0111029210770378,-0.0255601755775654,0.00249173357674498,0.119353680606111,"Staff-Duration","Contact precaution"
4,0.00391032778123259,-0.0114037337317223,0.0197536761679867,0.605510993199266,"Both-Both","Contact precaution"
4,0.00530950107460059,-0.00870733278375395,0.0195662292567608,0.455452227300433,"Both-Contact","Contact precaution"
4,0.0273729806837292,0.0127188726437049,0.0422663205365838,0.000302591009978125,"Both-Duration","Contact precaution"
4,6.45296790067306e-05,-0.0144227111072265,0.0146168753636818,0.983320334307645,"Patients-Both","Contact precaution"
4,-0.00895760066591792,-0.0244356840772578,0.00575296185057918,0.248563463450716,"Patients-Contact","Contact precaution"
4,0.0207950969520063,0.0062688032243791,0.035295995962011,0.00476552882425089,"Patients-Duration","Contact precaution"
4,0.0300481867506701,0.0154192250538733,0.0446729578860696,6.91909314748136e-05,"Staff-Both","Contact precaution"
4,0.0690424598581676,0.0544015492564975,0.0835594446109732,1.81769784194208e-19,"Staff-Contact","Contact precaution"
4,0.0253605245597226,0.0104250642404519,0.0398815368857372,0.000874398433855335,"Staff-Duration","Contact precaution"
6,0.000233056750192296,-0.0138138283610216,0.0142196935398981,0.957089830573404,"Both-Both","Contact precaution"
6,0.0187511558406049,0.00333423488703603,0.0339148846234897,0.0149373835624653,"Both-Contact","Contact precaution"
6,0.0427154686059027,0.0269808760638459,0.0582282790271333,1.32648816194882e-07,"Both-Duration","Contact precaution"
6,0.0208225778604242,0.00549326385824524,0.0352887571660921,0.00672256857522528,"Patients-Both","Contact precaution"
6,0.0158991495931769,0.000982789086477105,0.030465368357867,0.0349636949184294,"Patients-Contact","Contact precaution"
6,0.0428599916992725,0.0287840140074673,0.0568642166408263,4.04307118731368e-09,"Patients-Duration","Contact precaution"
6,0.0664720171331074,0.052005580167352,0.0805718903039468,4.30421559133428e-18,"Staff-Both","Contact precaution"
6,0.064858312678305,0.050342262923938,0.079121011299382,1.55881320358571e-17,"Staff-Contact","Contact precaution"
6,0.0243580115741258,0.00926708413174347,0.0391978952896112,0.00129821724929833,"Staff-Duration","Contact precaution"
