"scenario","val","lower","upper","pval","group","inter"
2,0.0440774545231218,0.0295221096993608,0.0583786848664687,1.10412496763418e-09,"Both-Both","Vaccination"
2,-0.0144791168366046,-0.0285591474725782,-1.95463462236507e-05,0.024941220381846,"Both-Contact","Vaccination"
2,0.0601142970771332,0.0452233303209281,0.0741360895863713,4.35478462558831e-16,"Both-Duration","Vaccination"
2,0.0444936158872387,0.0303021052307988,0.0590365631660955,4.71174015370414e-10,"Patients-Both","Vaccination"
2,0.0118829749958091,-1.96610646734872e-05,0.0251086734082203,0.0748805073128173,"Patients-Contact","Vaccination"
2,0.0694589669393813,0.0557884093100272,0.0832890239753976,3.64459300277233e-23,"Patients-Duration","Vaccination"
2,0.0473836462584692,0.0329083305468387,0.0604501822827795,2.75975524266861e-11,"Staff-Both","Vaccination"
2,0.024648724078835,0.0110158151277513,0.0389298830450816,0.000299885897829529,"Staff-Contact","Vaccination"
2,0.0470807905113058,0.032038418211158,0.0615236717723962,1.10293962645013e-10,"Staff-Duration","Vaccination"
4,0.0818476419988162,0.0669758816477979,0.0955632611697189,1.06051342496341e-28,"Both-Both","Vaccination"
4,0.057521096272796,0.0420005802084556,0.0714422669903817,1.46112744815081e-14,"Both-Contact","Vaccination"
4,0.152553482606376,0.139379727190492,0.165117923305989,1.61625357298322e-101,"Both-Duration","Vaccination"
4,0.0394831347502734,0.0245857161103203,0.0538464636105604,4.70785520320635e-08,"Patients-Both","Vaccination"
4,0.0483041080429975,0.0333237910983049,0.0624670400712242,3.27716119534118e-11,"Patients-Contact","Vaccination"
4,0.133497880913505,0.120164214962607,0.14693940423519,1.22130727597331e-71,"Patients-Duration","Vaccination"
4,0.10236851536878,0.0884958171887698,0.115414922535078,5.89179162136652e-44,"Staff-Both","Vaccination"
4,0.0767533072395689,0.0631163108673643,0.0908646820492647,3.9776090300176e-28,"Staff-Contact","Vaccination"
4,0.10629077604426,0.0931371230640609,0.119392309116884,1.9066323290497e-49,"Staff-Duration","Vaccination"
6,0.134676419145737,0.121737799128545,0.147848068409329,6.01713896326069e-79,"Both-Both","Vaccination"
6,0.0570149020665685,0.0417044725769307,0.0708390714325473,1.09416617594492e-14,"Both-Contact","Vaccination"
6,0.188952266845804,0.17664125639666,0.201232446049576,4.23912997870007e-146,"Both-Duration","Vaccination"
6,0.0893094083364046,0.075294174444823,0.103155641772025,3.85887806319781e-34,"Patients-Both","Vaccination"
6,0.0721750104190273,0.0585538876693915,0.0857507999080192,1.13600338327937e-23,"Patients-Contact","Vaccination"
6,0.14276752205757,0.12896423389289,0.155961636466101,8.59949112625686e-80,"Patients-Duration","Vaccination"
6,0.108870130919337,0.0954888012343153,0.122154051320654,6.45944046471303e-53,"Staff-Both","Vaccination"
6,0.11108522023205,0.0972102694173972,0.124993211372642,3.36582242401203e-51,"Staff-Contact","Vaccination"
6,0.113615055864053,0.0999596744279482,0.127265853826025,1.12845800631092e-54,"Staff-Duration","Vaccination"
